type,id,name,file
brand,1802c3b8-0e0b-4279-2259-08de4146bd8a,MTK,brands/mtk.svg
brand,1b40386e-d361-43d2-0b1f-08de3fbad2da,Nokia,brands/nokia.svg
brand,b9a7c104-5fa2-432b-7200-08de4517b798,OCA,brands/oca.svg
brand,d1322f16-3957-408f-02ac-08de46d6d898,Odhar,brands/odhar.svg
brand,e7ce4d48-0da9-4d73-8ee3-08de420b104b,OG Crown,brands/og-crown.svg
brand,ee034fff-ba37-44fb-0b15-08de3fbad2da,Oppo,brands/oppo.svg
brand,30e01202-4a1c-4fdc-0b27-08de3fbad2da,Oteam,brands/oteam.svg
brand,6fbf465a-00f8-454b-e88d-08de413fe9b1,OVO Plus,brands/ovo-plus.svg
brand,367c4617-a4da-4070-0af0-08de41f11bb1,PORTPONICS,brands/portponics.svg
brand,b9f8e0ef-5ec2-43ce-0b3a-08de3fbad2da,Power X,brands/power-x.svg
brand,339fc796-6432-4a0d-0b37-08de3fbad2da,QMobile,brands/qmobile.svg
brand,ec76a266-d115-4a3d-0b1c-08de3fbad2da,Realme,brands/realme.svg
brand,a3774530-2b17-483d-0b1a-08de3fbad2da,Samsung,brands/samsung.svg
brand,fdc6b0f1-d37f-41f6-6847-08de6c6aa28b,Samsung M,brands/samsung-m.svg
brand,faf3f790-b5bc-4cf5-0b2c-08de3fbad2da,SEGO,brands/sego.svg
brand,bd2db850-58e2-4f2e-7201-08de4517b798,SIM Tray,brands/sim-tray.svg
brand,1d35cb50-b996-4863-0b30-08de3fbad2da,Sparx,brands/sparx.svg
brand,6a1f68a7-2b4e-4cab-e4f1-08de43dc3d47,Stereo,brands/stereo.svg
brand,0a71a88a-5ca1-4619-8ee1-08de420b104b,Sunlong,brands/sunlong.svg
brand,0c66a133-93a8-4b73-8ee5-08de420b104b,Sunwei,brands/sunwei.svg
brand,87eab458-4d7a-491c-0b18-08de3fbad2da,Tecno,brands/tecno.svg
brand,469f1326-3b76-4011-d6ba-08de712ae6b3,Tecno M,brands/tecno-m.svg
brand,90216603-888e-44c7-0b24-08de3fbad2da,Telelink,brands/telelink.svg
brand,ffc60326-875f-48af-8ee2-08de420b104b,TG,brands/tg.svg
brand,80dc89a3-3384-486d-0af1-08de41f11bb1,TITAN,brands/titan.svg
brand,26b4ae9c-c67c-410e-0dad-08de42b34eb9,TLG,brands/tlg.svg
brand,29f3e3c0-3e9a-4d25-7202-08de4517b798,Touch Glass,brands/touch-glass.svg
brand,853dc3fe-46b9-4e07-0aec-08de41f11bb1,TWS,brands/tws.svg
brand,bc093d61-b814-41b8-e88c-08de413fe9b1,Ven-Dens,brands/ven-dens.svg
brand,cf8e902f-0585-45b6-0b2e-08de3fbad2da,VGO TEL,brands/vgo-tel.svg
brand,8e5abc4b-8e4f-4163-0b2d-08de3fbad2da,Villaon,brands/villaon.svg
brand,ef39182f-badf-4e42-0b16-08de3fbad2da,Vivo,brands/vivo.svg
brand,64a99547-68e5-4bbb-d6bb-08de712ae6b3,Vivo M,brands/vivo-m.svg
brand,1b20e1ab-bfba-42f8-8ee4-08de420b104b,Volder,brands/volder.svg
brand,3a8880fa-b1e5-425f-7203-08de4517b798,Volume On/Off,brands/volume-on-off.svg
brand,74056ddf-2edb-46b9-0aea-08de41f11bb1,Wiwo Bird,brands/wiwo-bird.svg
brand,468925c7-128a-483a-0b1e-08de3fbad2da,Xiaomi/Redmi,brands/xiaomi-redmi.svg
brand,31dafb97-bb27-4fd1-18bf-08de415653a5,YSDBBC,brands/ysdbbc.svg
brand,5dc60aa2-7d5c-4ae4-0b41-08de3fbad2da,ZAN,brands/zan.svg
brand,7fd6997f-147d-49dd-2258-08de4146bd8a,ZIRUIMAX,brands/ziruimax.svg
brand,08a8bf9d-6f93-4e85-0b31-08de3fbad2da,ZMB,brands/zmb.svg
brand,99b87110-9e24-4877-0b3c-08de3fbad2da,Zong,brands/zong.svg
brand,abb54163-adf4-40f3-71fe-08de4517b798,ZTE,brands/zte.svg
brand,05bdfee8-78a1-4b17-0b21-08de3fbad2da,ZUK,brands/zuk.svg
